Reciprocal Cross-Domain Fluency in Job Descriptions - Coded Dataset,,,,,,,,,,,,,,,
"Pilot content analysis - Director / Associate Director / Manager level, US pharma & life sciences. Scan date 2026-05-30. Convenience (non-random) sample; see Methodology tab.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,Bucket,Company,Role Title,Level,Sector,Degree expectation (as written),Advanced degree (MBA/JD),Reciprocal cross-domain fluency REQUIRED as a qualification?,How the OTHER domain appears in the posting,Compliance / regulatory concepts NAMED,Business / finance concepts NAMED,Verification,Posting status,Scan date,Source URL
1,Compliance,Dyne Therapeutics,"Director, Compliance",Director,Biotech (rare disease),"Advanced degree in law, business administration or related field",Required (law/business),"YES - 'practical business judgment', 'enterprise mindset'; balances compliance w/ business strategy",Business fluency = stated candidate qualification,PhRMA Code; Anti-Kickback Statute; False Claims Act; transparency laws; HCP & patient engagement; data privacy,Business judgment; commercialization; Value & Access,Full-text fetched,Live at scan,2026-05-30,https://job-boards.greenhouse.io/dynetherapeutics/jobs/5774158004
2,Compliance,Iterative Health,"Director, Compliance",Director,Health-tech / clinical research,Bachelor's + 8 yrs OR JD/advanced + 5 yrs; advanced degree preferred,Preferred (JD/advanced),"PARTIAL - 'general business compliance', 'financial compliance awareness', corporate governance",Business fluency = partial qualification,Anti-Kickback Statute; Stark Law; PhRMA Code; GDPR; HIPAA; SOC 2; GCP; ICH; 21 CFR Part 11,Corporate governance; financial reporting awareness; contract terms,Full-text fetched,Live at scan,2026-05-30,https://job-boards.greenhouse.io/iterativehealth/jobs/4671523006
3,Compliance,Garner Health,"Director, Regulatory & Compliance",Director,Health-tech / benefits,J.D. from U.S. law school + state bar admission,Required (JD),YES - day-to-day point-person for Revenue & Marketing teams; product-launch compliance,Business fluency = stated qualification (advises Revenue/Marketing),ERISA; HIPAA; IRS; state TPA regimes; privacy; insurance regulation; GRC,Revenue; Marketing; product strategy; GRC,Full-text fetched,Live at scan,2026-05-30,https://job-boards.greenhouse.io/garnerhealth/jobs/5753291004
4,Compliance,Paratek Pharmaceuticals,"Associate Director, Compliance",Associate Director,Pharma,Undergraduate degree required (no advanced degree mentioned),Not mentioned,"YES - 'solid business acumen'; 'intersection of legal, regulatory and business issues'; 'excellent business judgment'",Business fluency = stated candidate qualification,Anti-Kickback Statute; False Claims Act; OIG Guidance; PhRMA Code; FDCA; aggregate spend; transparency; speaker-program & field monitoring,Business acumen; business judgment; risk management,Full-text fetched,Archived (removed ~Nov 2025); text preserved,2026-05-30,https://builtin.com/job/associate-director-compliance/6562197
5,Compliance,Paratek Pharmaceuticals,"Associate Director, Compliance Operations",Associate Director,Pharma,Bachelor's degree required,Not mentioned,YES - 'solid business acumen'; data analytics/dashboards/Tableau; Veeva CRM; legal-compliance-regulatory-business intersection,Business fluency = stated candidate qualification,Anti-Kickback Statute; False Claims Act; OIG Guidance; PhRMA Code; FDCA; aggregate spend; Open Payments (Sunshine Act); state licensing,Business acumen; data analytics; dashboards; Tableau; Veeva CRM,Full-text fetched,Live (dated May 2026),2026-05-30,https://job-boards.greenhouse.io/paratekpharmaceuticals/jobs/8546653002
6,Compliance,Otsuka,"Manager, Corporate Compliance",Manager,Pharma,(Not captured in reviewed excerpt),Not captured,PARTIAL - reviews HCP spend/utilization & business plans; advises on associated business risk,Business context = embedded in role,HCP fee-for-service; fraud & abuse; financial transparency; state drug price transparency; state rep licensure; cross-border codes,HCP spend; product commercialization lifecycle; business plans,Excerpt verified,Not re-checked,2026-05-30,https://builtin.com/job/manager-corporate-compliance/7024762
7,Compliance,BeOne Medicines,"Associate Director, Compliance - North America",Associate Director,Pharma,BA/BS required; J.D./advanced preferred but NOT required; 8+ yrs,"Preferred, not required","YES - collaborates w/ Legal, Finance, Procurement; leads FMV assessments; ERM/TPRM due diligence",Business fluency = stated qualification (Finance/Procurement/FMV/ERM),Anti-Kickback Statute; FDCA; HIPAA; Federal Sunshine Act (Open Payments); State Transparency; PhRMA Code; FCA; OIG,FMV (fair-market value); Finance; Procurement; ERM; TPRM; annual planning,Excerpt verified,Not re-checked,2026-05-30,https://www.remoterocketship.com/us/company/businesswire-6/jobs/associate-director-compliance-north-america-united-states-remote/
8,Compliance,MedImpact Healthcare Systems,"Director, Compliance",Director,PBM / pharma services,(Not captured in reviewed excerpt),Not captured,PARTIAL - leads program; collaborates with multiple business stakeholders & vendors,Business context = embedded in role,HIPAA (privacy & security focus); health & wellness compliance program,Vendor management; departmental compliance activities,Excerpt verified,Not re-checked,2026-05-30,https://builtin.com/job/director-compliance/7710023
9,Compliance,"Nuvalent, Inc.","Vice President, Compliance (Biopharma)",VP,Biopharma,(Not captured in reviewed excerpt),Not captured,YES - risk-based analysis; solutions satisfying both business requirements and legal obligations,Business fluency = stated qualification (risk-based business analysis),FDCA; False Claims Act; Anti-Kickback Statute; OIG guidance; Sunshine Act; FCPA; fraud & abuse; transparency,Risk-based business analysis; commercialization of branded products,Excerpt verified,Posting since expired,2026-05-30,https://job-boards.greenhouse.io/nuvalent/jobs/5811667004
10,Compliance,Care Access,"Senior Manager, Compliance Operations",Senior Manager,Clinical research / pharma,(Not captured in reviewed excerpt); 5+ yrs legal/compliance ops,Not captured,PARTIAL - legal operations & contract lifecycle management; runs operational infrastructure of Legal dept,Business context = embedded in role,Privacy & compliance program support; contract lifecycle management; quality dept support,Contract lifecycle management; legal operations; project management,Excerpt verified,Posting since expired,2026-05-30,https://job-boards.greenhouse.io/careaccess/jobs/4229870009
11,Commercial,Immunovant (IMVT),"Executive Director, Commercial Operations",Executive Director,Biotech,BA/BS required; MBA and/or other graduate degree strongly preferred,Preferred (MBA),"NO - compliance NOT in candidate Requirements; named only as a duty ('ensure adherence to FDA/OIG'; 'compliant review in partnership with Regulatory, Legal, Medical')","Compliance = DELEGATED RESPONSIBILITY, not a qualification","FDA; OIG; 'company compliance standards' (named as duties to ensure, not required knowledge)",Gross-to-net modeling; forecasting; incentive compensation; pricing; CRM; demand planning; P&L,Full-text fetched,Live at scan,2026-05-30,https://job-boards.greenhouse.io/imvtcorporation/jobs/5829708004
12,Commercial,Vertex Pharmaceuticals,Global Marketing Research Associate Director,Associate Director,Biotech / Pharma,"Bachelor's degree in relevant discipline required (no advanced degree mentioned, even as preferred)",Not mentioned,NO - confirmed absent in full text; no compliance/regulatory concept named anywhere in the posting,Compliance = ABSENT from the posting,NONE named,Long Range Plan forecast model; brand planning; commercialization; go-to-market; launch planning; analytics,Full-text fetched,Archived (removed Oct 2025); text preserved,2026-05-30,https://builtin.com/job/global-marketing-research-associate-director/7393750
13,Commercial,Mineralys Therapeutics,"Director, HCP Marketing & Thought Leader Engagement",Director,Biotech,Bachelor's degree required; MBA or advanced degree preferred,Preferred (MBA),"NO (as a qualification) - FMV/Sunshine/promo-review named as a RESPONSIBILITY, but Education/Experience requires only marketing & launch experience, not compliance knowledge","Compliance = EMBEDDED RESPONSIBILITY (most compliance-specific of the commercial set), still not a stated qualification",FMV adherence; Sunshine Act reporting; HCP contracting; promotional content review (all as duties),KOL engagement; medical congresses; advisory boards; speaker programs; brand strategy,Full-text fetched,Live at scan,2026-05-30,https://job-boards.greenhouse.io/mineralystherapeutics/jobs/5110606008
14,Commercial,Summit Therapeutics,"Senior Director, Sales Operations (Oncology)",Senior Director,Pharma (oncology),Bachelor's degree required; MBA or advanced degree preferred,Preferred (MBA),"NO - compliance only as duty ('compliant incentive compensation', 'compliance measures for promotional activity', 'ensure compliance ... for field operations'); Requirements all commercial","Compliance = DELEGATED RESPONSIBILITY, not a qualification",Compliant IC plans; promotional-activity compliance; legal/regulatory/quality field-ops compliance (all as duties),IC modeling; CRM (Veeva/Salesforce); forecasting; commercial analytics; segmentation; field data,Full-text fetched,Live at scan,2026-05-30,https://job-boards.greenhouse.io/summittherapeutics/jobs/4174529009
